Date,Safe,SolarRadiation_max,SolarRadiation_min,SolarRadiation_mean,SoilWaterContent_max,SoilWaterContent_min,SoilWaterContent_mean,Prev_fire_area_0,Prev_fire_area_1,Prev_fire_area_2,Prev_fire_area_3,Prev_fire_area_4,Prev_fire_area_5,Prev_fire_area_6,Prev_fire_area_7,Prev_fire_area_8,Prev_fire_area_9,Prev_fire_area_10,Prev_fire_area_11,Prev_fire_area_12,Prev_fire_area_13,Prev_fire_area_14,Month
2005-01-23,1,32.26278305053711,18.397617340087887,30.71413569256132,0.390549391508102,7.09823098e-07,0.190629026606783,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,1
2005-01-24,1,31.70486259460449,26.08375740051269,30.23065772705171,0.378346264362335,0.0,0.1843947019535499,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2005-01-25,0,30.74043846130371,23.419361114501957,28.28067891086005,0.360036104917526,1.799082384e-06,0.177081838215181,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-26,0,31.13883781433105,21.224727630615234,27.0646852262043,0.344485461711884,0.0,0.181670449849121,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-27,0,29.51293182373047,19.070924758911133,24.653737867594533,0.34621474146843,1.22779326e-07,0.198205441102303,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,0.0,1
2005-01-28,0,28.50953483581543,14.02663230895996,20.63384096190305,0.3644292950630189,0.0,0.215213227021826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,0.0,1
2005-01-29,1,30.794586181640625,7.29856014251709,17.874796474969187,0.437044620513916,2.22314452e-06,0.279713129405476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,0.0,1
2005-01-30,1,31.58221244812012,25.92407798767089,30.32884768752643,0.426319032907486,0.0,0.255940933801965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,0.0,1
2005-01-31,0,31.20995330810547,26.534128189086918,30.64184476244341,0.401593774557114,1.7871302590000002e-06,0.234089465174671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,0.0,1
2005-02-01,0,29.720560073852536,9.399480819702148,23.37217605736844,0.384421557188034,2.8240804110000004e-06,0.24813699656912,59.64875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96333333,35.84423077,4.64,60.77,2
