Date,Safe,SolarRadiation_max,SolarRadiation_min,SolarRadiation_mean,SoilWaterContent_max,SoilWaterContent_min,SoilWaterContent_mean,Prev_fire_area_0,Prev_fire_area_1,Prev_fire_area_2,Prev_fire_area_3,Prev_fire_area_4,Prev_fire_area_5,Prev_fire_area_6,Prev_fire_area_7,Prev_fire_area_8,Prev_fire_area_9,Prev_fire_area_10,Prev_fire_area_11,Prev_fire_area_12,Prev_fire_area_13,Prev_fire_area_14,Month
2005-01-23,0,31.88424301147461,20.262237548828125,29.58435642604736,0.459422558546066,7.09823098e-07,0.0978453979924059,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,7.41,0.0,0.0,88.74,1.32,1
2005-01-24,0,31.96955871582031,22.67300224304199,29.35906175506853,0.4604445099830629,0.0,0.092172587636841,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,7.41,0.0,0.0,88.74,1
2005-01-25,0,32.106002807617195,20.91749763488769,28.578299017191963,0.4590281844139099,1.799082384e-06,0.088847493756479,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,7.41,0.0,0.0,1
2005-01-26,0,31.33451843261719,17.164716720581055,27.54293868663108,0.453236401081085,0.0,0.088150016427976,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,7.41,0.0,1
2005-01-27,1,30.62549400329589,18.670764923095703,27.57198745124548,0.447188913822174,1.22779326e-07,0.088858912132405,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,7.41,1
2005-01-28,0,30.47685432434082,18.76547622680664,25.95865895981301,0.4524522125720979,0.0,0.092317096750638,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,23.664,1
2005-01-29,0,30.68789482116699,17.581226348876953,25.483719483669702,0.4430955648422239,2.22314452e-06,0.0983028915656119,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,5.1,1
2005-01-30,0,30.55754852294921,12.204293251037598,24.69793505416589,0.466798275709152,0.0,0.108293372044763,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,17.74285714,1
2005-01-31,0,30.756208419799805,15.368196487426758,24.661004902238847,0.474325329065323,1.7871302590000002e-06,0.126976116790865,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,5.0,1
2005-02-01,1,30.59020233154297,18.770410537719727,24.30503110341138,0.4755944013595579,2.8240804110000004e-06,0.130241757350378,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,1.0,2
2005-02-02,1,31.83216857910156,12.214479446411133,23.66963236687511,0.4916881024837489,0.0,0.169577828622492,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,1.21,2
2005-02-03,0,31.98103904724121,3.6904811859130864,25.19034287218905,0.497865080833435,5.839392539999999e-07,0.156443576692439,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,9.608888889,2
2005-02-04,0,31.58542251586914,4.571855068206787,26.426014509715728,0.4961641430854799,1.7687366900000004e-07,0.136215915839122,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,5.16,2
2005-02-05,0,31.35012626647949,5.082294464111328,27.978907393759677,0.479473739862442,5.37605899e-07,0.120040166329777,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,16.25333333,2
2005-02-06,1,31.605218887329105,6.039378643035889,28.657254207604428,0.4584109783172609,0.0,0.108992438056635,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,25.83636364,2
2005-02-07,1,31.20409202575684,2.272622346878052,25.50105124709184,0.454060047864914,4.72025363e-07,0.1125907960170179,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,40.01928571,2
2005-02-08,1,30.60524559020996,4.615026473999023,23.183227946820125,0.497492372989655,0.0,0.116461376624014,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,69.30644068,2
2005-02-09,0,30.206602096557614,19.159173965454105,27.05739645431988,0.478006273508072,3.97907513e-07,0.110696534247975,0.0,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,105.3764865,2
2005-02-10,0,30.164344787597656,20.42365074157715,27.13210998443295,0.4508431851863859,2.5623787680000003e-06,0.1070616028559719,6.043333333,0.0,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,41.13529412,2
2005-02-11,0,30.59593391418457,17.880184173583984,27.242077930651245,0.4540132880210879,2.69478187e-06,0.109828174974443,2.2,6.043333333,0.0,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,18.24,2
2005-02-12,0,30.593891143798828,16.509220123291016,27.936613693719053,0.473854690790176,0.0,0.1093252913645399,19.125,2.2,6.043333333,0.0,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,26.88,2
2005-02-13,1,30.75207901000977,20.521562576293945,29.04752525971093,0.47249498963356,1.156780172e-06,0.101433098651883,0.0,19.125,2.2,6.043333333,0.0,0.0,32.8576,24.86,8.486666667,10.88,0.0,6.1560000000000015,11.925,28.61111111,13.1275,2
